X=-978.616 Y=-611.441 Z=1207.322;
X=514.054 Y=414.770 Z=1166.874;
X=892.540 Y=-165.122 Z=1099.960;
X=1627.306 Y=468.967 Z=1120.466;
X=-942.631 Y=-1584.744 Z=1153.435;
X=115.273 Y=455.186 Z=1150.359;
X=286.025 Y=-1763.304 Z=1210.645;
X=-810.437 Y=522.016 Z=978.808;
X=1254.340 Y=565.111 Z=1019.143;
X=1284.390 Y=-1770.140 Z=960.922;
X=-48.299 Y=-281.610 Z=1089.941;
X=-675.733 Y=967.514 Z=988.107;
X=-1145.508 Y=369.378 Z=1085.001;
X=1569.738 Y=321.908 Z=1086.293;
X=912.711 Y=-1662.457 Z=1174.468;
X=-1564.586 Y=-983.655 Z=1034.963;
X=-517.266 Y=1624.878 Z=973.649;
X=557.095 Y=-367.199 Z=1065.612;
X=-1929.666 Y=227.788 Z=1038.523;
X=71.568 Y=126.887 Z=1011.461;
X=693.481 Y=520.977 Z=1166.127;
X=-1376.734 Y=-1777.906 Z=1228.425;
X=1520.305 Y=-1334.596 Z=1150.420;
X=1156.015 Y=329.619 Z=1175.171;
X=331.805 Y=778.563 Z=1170.732;
X=423.988 Y=-1718.514 Z=1151.396;
X=-788.647 Y=474.053 Z=1204.677;
X=-1471.698 Y=-262.852 Z=1220.374;
X=-1815.028 Y=276.024 Z=1139.504;
X=1417.705 Y=1645.113 Z=1015.847;
X=946.496 Y=-1037.032 Z=1033.416;
X=-278.113 Y=423.903 Z=1147.687;
X=-1453.062 Y=-1164.567 Z=1199.245;
X=-403.625 Y=-1648.129 Z=961.195;
X=-1346.186 Y=748.046 Z=1027.809;
X=-133.675 Y=-1746.405 Z=1114.973;
X=1686.243 Y=665.466 Z=972.032;
X=-313.144 Y=818.103 Z=1161.064;
X=840.990 Y=-96.597 Z=1160.519;
X=-904.986 Y=-1230.468 Z=1052.516;
X=-876.638 Y=248.406 Z=1040.448;
X=1517.193 Y=221.991 Z=1173.299;
X=1935.523 Y=-388.582 Z=1012.225;
X=272.536 Y=516.820 Z=969.580;
X=462.546 Y=-1413.621 Z=1056.181;
X=-1405.372 Y=179.388 Z=1002.794;
X=-1895.216 Y=-164.849 Z=1045.317;
X=-80.549 Y=-791.860 Z=1007.268;
X=1413.388 Y=975.006 Z=1143.353;
X=1563.180 Y=-1064.486 Z=988.134;
X=-1038.840 Y=1045.665 Z=1191.440;
X=-1565.292 Y=-985.296 Z=1012.594;
X=99.169 Y=280.891 Z=1007.339;
