X=-672.371 Y=1605.135 Z=1028.327;
X=30.353 Y=-1496.749 Z=993.047;
X=-1591.398 Y=-1075.752 Z=1096.111;
X=-423.050 Y=776.539 Z=1079.288;
X=-1699.187 Y=1249.218 Z=1068.547;
X=976.131 Y=-1642.003 Z=1074.296;
X=1423.474 Y=125.191 Z=1089.229;
X=-475.595 Y=1088.924 Z=983.484;
X=1226.532 Y=799.399 Z=1083.349;
X=-254.456 Y=-1605.909 Z=1168.324;
X=-1935.642 Y=-1624.284 Z=1213.352;
X=-1721.766 Y=694.505 Z=964.236;
X=244.603 Y=1602.291 Z=1032.617;
X=1439.246 Y=-1198.857 Z=990.797;
X=1424.844 Y=1714.732 Z=1083.270;
X=-1962.496 Y=33.423 Z=1003.164;
X=38.779 Y=-1617.393 Z=1099.829;
X=-1691.924 Y=1751.756 Z=1210.803;
X=-1658.886 Y=-601.159 Z=991.597;
X=1231.886 Y=1119.604 Z=1163.340;
X=60.029 Y=1277.929 Z=1219.091;
X=1132.689 Y=-330.612 Z=1187.863;
X=-227.104 Y=-1115.183 Z=1209.932;
X=-1674.367 Y=1169.098 Z=1054.590;
X=-1814.115 Y=-1661.473 Z=1201.257;
X=-526.688 Y=8.539 Z=991.289;
X=-685.196 Y=-874.660 Z=1056.629;
X=-753.201 Y=-1220.842 Z=1218.634;
X=983.934 Y=1713.091 Z=982.096;
X=739.718 Y=-562.439 Z=1140.822;
X=1426.047 Y=836.096 Z=1070.130;
X=-377.228 Y=-628.121 Z=1096.981;
X=-1009.537 Y=1063.439 Z=1235.536;
X=-1285.090 Y=-1574.790 Z=1139.600;
X=-996.629 Y=1318.728 Z=1114.850;
X=76.341 Y=387.316 Z=1060.734;
X=83.729 Y=-340.565 Z=994.902;
X=1004.189 Y=1405.246 Z=1182.440;
X=1729.906 Y=-722.897 Z=1214.609;
X=-1441.150 Y=-1519.172 Z=1149.093;
X=90.951 Y=-335.206 Z=1165.353;
X=133.078 Y=373.589 Z=1198.401;
X=-937.733 Y=-1599.018 Z=1108.662;
X=1512.378 Y=957.396 Z=1115.746;
X=-1186.972 Y=1054.634 Z=1066.209;
X=1535.289 Y=-104.144 Z=1034.744;
X=245.723 Y=-642.449 Z=1005.282;
X=-1692.214 Y=1361.167 Z=1054.054;
X=-2048.578 Y=-1135.472 Z=1206.549;
X=-124.171 Y=823.736 Z=1125.098;
X=916.737 Y=1159.856 Z=967.866;
X=-1750.654 Y=1723.373 Z=1152.064;
X=1553.883 Y=-1586.931 Z=1160.598;
X=-909.136 Y=-1094.620 Z=1112.995;
X=-211.290 Y=-196.733 Z=1120.659;
X=703.982 Y=180.755 Z=1000.281;
X=-535.072 Y=1009.898 Z=1138.493;
X=-749.092 Y=-269.032 Z=957.714;
