X=366.877 Y=-355.495 Z=1035.324;
X=-810.645 Y=1253.155 Z=1014.845;
X=-992.811 Y=-1240.312 Z=1129.449;
X=196.830 Y=1017.172 Z=1201.152;
X=680.448 Y=-840.370 Z=1070.332;
X=816.917 Y=352.479 Z=1090.494;
X=-464.596 Y=-461.264 Z=1236.758;
X=-1304.681 Y=953.568 Z=1002.715;
X=-1850.723 Y=-1383.269 Z=1087.234;
X=-622.440 Y=-390.168 Z=1230.341;
X=177.364 Y=883.128 Z=1181.332;
X=1788.719 Y=1778.226 Z=986.525;
X=642.097 Y=-81.229 Z=969.782;
X=-560.017 Y=-54.814 Z=1212.130;
X=-1116.538 Y=-670.232 Z=1015.091;
X=-1008.500 Y=476.733 Z=969.210;
X=1476.600 Y=1215.365 Z=1184.452;
X=-460.487 Y=-1505.882 Z=1233.444;
X=-23.894 Y=270.008 Z=1002.627;
X=832.606 Y=-1167.520 Z=1201.231;
X=-1622.942 Y=1396.988 Z=1088.086;
X=518.537 Y=993.218 Z=1091.619;
X=-115.994 Y=-64.987 Z=1231.844;
X=719.422 Y=902.981 Z=1001.529;
X=-512.037 Y=-1137.879 Z=1189.462;
X=-1622.942 Y=-236.000 Z=1015.847;
X=1450.535 Y=1453.263 Z=1124.034;
X=1504.450 Y=-1633.800 Z=1019.749;
X=-950.226 Y=1776.312 Z=1147.502;
X=610.927 Y=513.266 Z=1226.246;
X=1312.198 Y=314.634 Z=1066.218;
X=-8.371 Y=-1297.243 Z=1088.974;
X=-1103.713 Y=-171.685 Z=985.471;
X=-711.012 Y=1208.857 Z=1183.002;
X=859.917 Y=-1120.542 Z=1044.781;
X=-1914.807 Y=1726.709 Z=1040.052;
X=-1999.145 Y=-1169.598 Z=1047.892;
X=1350.508 Y=826.306 Z=1072.678;
X=542.693 Y=-450.928 Z=1095.443;
X=-431.517 Y=948.427 Z=1048.490;
X=1840.435 Y=-1636.425 Z=979.265;
X=-1115.251 Y=361.394 Z=1022.421;
X=-769.554 Y=-1295.985 Z=1040.536;
X=915.575 Y=1215.201 Z=1108.899;
X=-119.439 Y=1256.327 Z=1027.668;
X=196.415 Y=-1301.454 Z=1165.397;
X=712.947 Y=-976.163 Z=1160.589;
X=-1934.439 Y=-1607.385 Z=1104.012;
X=806.250 Y=1361.221 Z=1056.093;
X=-942.755 Y=1197.919 Z=1216.120;
X=-144.093 Y=-383.934 Z=983.238;
X=-1579.362 Y=-1503.804 Z=1063.247;
X=439.677 Y=824.720 Z=1140.637;
X=1754.727 Y=666.669 Z=1239.025;
X=-235.405 Y=-497.195 Z=1004.456;
X=1214.495 Y=-1246.163 Z=1061.859;
X=451.257 Y=-281.228 Z=1154.516;
